window_start,window_end,selected_assets,objective_value
0,20,"[0.0, 1.0, 1.0]",0.0002973937938928632
5,25,"[0.0, 1.0, 1.0]",0.0002973937938928632
10,30,"[0.0, 1.0, 1.0]",0.0002973937938928632
15,35,"[0.0, 1.0, 1.0]",0.0002973937938928632
20,40,"[0.0, 1.0, 1.0]",0.0002973937938928632
25,45,"[0.0, 1.0, 1.0]",0.0002973937938928632
30,50,"[0.0, 1.0, 1.0]",0.0002973937938928632
35,55,"[0.0, 1.0, 1.0]",0.0002973937938928632
40,60,"[0.0, 1.0, 1.0]",0.0002973937938928632
45,65,"[0.0, 1.0, 1.0]",0.0002973937938928632
50,70,"[0.0, 1.0, 1.0]",0.0002973937938928632
55,75,"[0.0, 1.0, 1.0]",0.0002973937938928632
60,80,"[0.0, 1.0, 1.0]",0.0002973937938928632
65,85,"[0.0, 1.0, 1.0]",0.0002973937938928632
70,90,"[0.0, 1.0, 1.0]",0.0002973937938928632
75,95,"[0.0, 1.0, 1.0]",0.0002973937938928632
80,100,"[0.0, 1.0, 1.0]",0.0002973937938928632
85,105,"[0.0, 1.0, 1.0]",0.0002973937938928632
90,110,"[0.0, 1.0, 1.0]",0.0002973937938928632
95,115,"[0.0, 1.0, 1.0]",0.0002973937938928632
100,120,"[0.0, 1.0, 1.0]",0.0002973937938928632
105,125,"[0.0, 1.0, 1.0]",0.0002973937938928632
110,130,"[0.0, 1.0, 1.0]",0.0002973937938928632
115,135,"[0.0, 1.0, 1.0]",0.0002973937938928632
120,140,"[0.0, 1.0, 1.0]",0.0002973937938928632
125,145,"[0.0, 1.0, 1.0]",0.0002973937938928632
130,150,"[0.0, 1.0, 1.0]",0.0002973937938928632
135,155,"[0.0, 1.0, 1.0]",0.0002973937938928632
140,160,"[0.0, 1.0, 1.0]",0.0002973937938928632
145,165,"[0.0, 1.0, 1.0]",0.0002973937938928632
150,170,"[0.0, 1.0, 1.0]",0.0002973937938928632
155,175,"[0.0, 1.0, 1.0]",0.0002973937938928632
160,180,"[0.0, 1.0, 1.0]",0.0002973937938928632
165,185,"[0.0, 1.0, 1.0]",0.0002973937938928632
170,190,"[0.0, 1.0, 1.0]",0.0002973937938928632
175,195,"[0.0, 1.0, 1.0]",0.0002973937938928632
180,200,"[0.0, 1.0, 1.0]",0.0002973937938928632
185,205,"[0.0, 1.0, 1.0]",0.0002973937938928632
190,210,"[0.0, 1.0, 1.0]",0.0002973937938928632
195,215,"[0.0, 1.0, 1.0]",0.0002973937938928632
200,220,"[0.0, 1.0, 1.0]",0.0002973937938928632
205,225,"[0.0, 1.0, 1.0]",0.0002973937938928632
210,230,"[0.0, 1.0, 1.0]",0.0002973937938928632
215,235,"[0.0, 1.0, 1.0]",0.0002973937938928632
220,240,"[0.0, 1.0, 1.0]",0.0002973937938928632
225,245,"[0.0, 1.0, 1.0]",0.0002973937938928632
230,250,"[0.0, 1.0, 1.0]",0.0002973937938928632
235,255,"[0.0, 1.0, 1.0]",0.0002973937938928632
240,260,"[0.0, 1.0, 1.0]",0.0002973937938928632
245,265,"[0.0, 1.0, 1.0]",0.0002973937938928632
